2024-03-19T00:56:16
BGP table version is 575, local router ID is 40.151.0.1, vrf id 0
Default local pref 100, local AS 40
Status codes:  s suppressed, d damped, h history, * valid, > best, = multipath,
               i internal, r RIB-failure, S Stale, R Removed
Nexthop codes: @NNN nexthop's vrf id, < announce-nh-self
Origin codes:  i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

   Network          Next Hop            Metric LocPrf Weight Path
*> 1.0.0.0/8        179.9.40.9                     20      0 9 4 1 i
*> 2.0.0.0/8        179.9.40.9                     20      0 9 4 2 i
*> 3.0.0.0/8        179.9.40.9                     20      0 9 4 3 i
*> 4.0.0.0/8        179.9.40.9                     20      0 9 4 i
*> 5.0.0.0/8        179.9.40.9                     20      0 9 4 2 5 i
*> 6.0.0.0/8        179.9.40.9                     20      0 9 6 i
*> 7.0.0.0/8        179.9.40.9                     20      0 9 4 7 i
*> 8.0.0.0/8        179.9.40.9                     20      0 9 8 i
*> 9.0.0.0/8        179.9.40.9               0     20      0 9 i
*> 10.0.0.0/8       179.9.40.9                     20      0 9 4 1 10 i
*> 11.0.0.0/8       179.9.40.9                     20      0 9 4 11 i
*> 12.0.0.0/8       179.9.40.9                     20      0 9 4 12 i
*> 13.0.0.0/8       179.9.40.9                     20      0 9 4 13 i
*> 14.0.0.0/8       179.9.40.9                     20      0 9 4 7 14 i
*> 15.0.0.0/8       179.9.40.9                     20      0 9 4 13 15 i
*> 16.0.0.0/8       179.9.40.9                     20      0 9 4 13 16 i
*> 17.0.0.0/8       179.9.40.9                     20      0 9 4 2 5 17 i
*> 18.0.0.0/8       179.9.40.9                     20      0 9 6 18 i
*> 19.0.0.0/8       179.9.40.9                     20      0 9 4 12 19 i
*> 20.0.0.0/8       179.9.40.9                     20      0 9 4 2 5 20 i
*> 21.0.0.0/8       179.9.40.9                     20      0 9 6 21 i
*> 22.0.0.0/8       179.9.40.9                     20      0 9 22 i
*> 23.0.0.0/8       179.9.40.9                     20      0 9 4 7 23 i
*> 24.0.0.0/8       179.9.40.9                     20      0 9 4 12 24 i
*> 25.0.0.0/8       179.9.40.9                     20      0 9 4 1 10 25 i
*> 26.0.0.0/8       179.9.40.9                     20      0 9 26 i
*> 27.0.0.0/8       179.9.40.9                     20      0 9 6 27 i
*> 28.0.0.0/8       179.9.40.9                     20      0 9 4 7 28 i
*> 29.0.0.0/8       179.9.40.9                     20      0 9 4 7 29 i
*> 30.0.0.0/8       179.9.40.9                     20      0 9 4 12 30 i
*> 31.0.0.0/8       179.9.40.9                     20      0 9 31 i
*> 32.0.0.0/8       179.9.40.9                     20      0 9 4 11 32 i
*> 33.0.0.0/8       179.9.40.9                     20      0 9 33 i
*> 34.0.0.0/8       179.9.40.9                     20      0 9 4 11 34 i
*> 35.0.0.0/8       179.9.40.9                     20      0 9 35 i
*> 36.0.0.0/8       179.9.40.9                     20      0 9 4 36 i
*> 37.0.0.0/8       179.9.40.9                     20      0 9 37 i
*> 38.0.0.0/8       179.9.40.9                     20      0 9 4 2 5 38 i
*> 39.0.0.0/8       179.9.40.9                     20      0 9 39 i
*> 40.0.0.0/8       0.0.0.0                  0         32768 i
*> 41.0.0.0/8       179.9.40.9                     20      0 9 41 i
*> 42.0.0.0/8       179.9.40.9                     20      0 9 6 42 i
*> 43.0.0.0/8       179.9.40.9                     20      0 9 4 11 43 i
*> 44.0.0.0/8       179.9.40.9                     20      0 9 4 13 44 i
*> 45.0.0.0/8       179.9.40.9                     20      0 9 4 2 5 45 i
*  46.0.0.0/8       179.9.40.9                     20      0 9 8 46 i
*>                  179.40.46.46             0     50      0 46 i
*> 47.0.0.0/8       179.9.40.9                     20      0 9 4 2 5 47 i
*> 48.0.0.0/8       179.9.40.9                     20      0 9 4 12 48 i
*> 49.0.0.0/8       179.9.40.9                     20      0 9 4 3 49 i

Displayed  49 routes and 50 total paths
