POISONING AS,POISONED AS,IMPACTED AS,VISIBILITY CHANGE,NEW DISCOVERED CONNECTION COUNT,NEW P2P CONNECTIONS DISCOVERED,NEW P2C CONNECTIONS DISCOVERED,NEW IXP CONNECTIONS DISCOVERED
14,1,1,-0.33999999999999986,4,0,4,0
14,1,2,4.039999999999999,16,4,2,10
14,1,3,3.700000000000003,14,3,4,7
14,1,4,5.390000000000001,20,5,0,15
14,1,5,2.0199999999999996,14,3,6,5
14,1,6,5.720000000000002,21,6,5,10
14,1,7,4.040000000000003,20,4,5,11
14,1,8,2.3599999999999994,11,2,2,7
14,1,9,1.0100000000000016,10,2,5,3
14,1,10,0.33999999999999986,8,2,2,4
14,1,11,4.369999999999997,16,3,4,9
14,1,12,2.0199999999999996,21,2,4,15
14,1,13,3.700000000000003,18,3,6,9
14,1,14,-3.710000000000001,4,1,3,0
14,1,15,0.0,6,0,6,0
14,1,16,0.33999999999999986,6,0,6,0
14,1,17,0.6799999999999997,11,2,8,1
14,1,18,0.6799999999999997,8,1,4,3
14,1,19,0.0,16,3,5,8
14,1,20,-1.009999999999998,8,1,6,1
14,1,21,2.6899999999999977,16,3,7,6
14,1,22,-0.33999999999999986,5,0,5,0
14,1,23,0.33999999999999986,14,3,6,5
14,1,24,1.3499999999999979,18,3,6,9
14,1,25,0.0,8,1,6,1
14,1,26,-0.33999999999999986,5,0,5,0
14,1,27,1.009999999999998,9,2,7,0
14,1,28,-3.370000000000001,8,1,1,6
14,1,29,-3.030000000000001,8,0,2,6
14,1,30,1.6899999999999977,17,3,5,9
14,1,31,0.6700000000000017,8,0,7,1
14,1,32,0.0,7,3,3,1
14,1,33,1.6899999999999977,9,1,8,0
14,1,34,1.3499999999999979,8,3,5,0
14,1,35,5.050000000000001,16,4,5,7
14,1,36,0.0,9,1,5,3
14,1,37,6.060000000000002,21,2,10,9
14,1,38,1.3500000000000014,11,2,8,1
14,1,39,0.6700000000000017,6,0,6,0
14,1,40,1.6799999999999997,9,1,8,0
14,1,41,1.009999999999998,7,1,6,0
14,1,42,-0.3299999999999983,5,1,4,0
14,1,43,1.3499999999999979,9,2,6,1
14,1,44,0.33999999999999986,7,1,3,3
14,1,45,1.0100000000000016,10,2,7,1
14,1,46,1.009999999999998,10,2,7,1
14,1,47,-1.0100000000000016,7,1,5,1
14,1,48,1.6899999999999977,17,3,5,9
14,1,49,0.33999999999999986,10,0,10,0
14,1,50,1.0100000000000016,10,2,7,1
14,10,1,4.370000000000001,13,3,2,8
14,10,2,5.050000000000001,15,4,0,11
14,10,3,4.370000000000001,13,3,2,8
14,10,4,7.069999999999997,22,5,0,17
14,10,5,1.6799999999999997,11,3,4,4
14,10,6,5.720000000000002,23,6,5,12
14,10,7,3.710000000000001,21,3,6,12
14,10,8,3.3699999999999974,12,2,2,8
14,10,9,0.6700000000000017,11,1,5,5
14,10,10,-0.6700000000000017,2,0,2,0
14,10,11,5.049999999999997,17,2,5,10
14,10,12,3.6999999999999993,21,2,4,15
14,10,13,4.710000000000001,20,2,8,10
14,10,14,-4.379999999999999,3,0,3,0
14,10,15,-0.3299999999999983,6,0,6,0
14,10,16,0.33999999999999986,6,0,6,0
14,10,17,0.33999999999999986,9,2,6,1
14,10,18,0.3400000000000034,6,1,3,2
14,10,19,1.0100000000000016,16,2,6,8
14,10,20,-1.009999999999998,6,1,4,1
14,10,21,2.6899999999999977,17,3,6,8
14,10,22,-0.6799999999999997,6,0,6,0
14,10,23,-0.33999999999999986,15,3,5,7
14,10,24,2.0199999999999996,18,3,6,9
14,10,25,-0.6700000000000017,3,0,3,0
14,10,26,-0.6799999999999997,6,0,6,0
14,10,27,0.3299999999999983,7,2,5,0
14,10,28,-4.039999999999999,8,0,2,6
14,10,29,-3.030000000000001,9,0,3,6
14,10,30,1.6899999999999977,18,3,6,9
14,10,31,1.6799999999999997,9,0,9,0
14,10,32,0.0,5,1,4,0
14,10,33,0.6799999999999997,9,0,9,0
14,10,34,0.6699999999999982,7,1,6,0
14,10,35,4.040000000000003,16,3,6,7
14,10,36,1.009999999999998,10,1,5,4
14,10,37,5.720000000000002,21,2,11,8
14,10,38,0.6700000000000017,9,2,6,1
14,10,39,-0.6699999999999982,6,0,6,0
14,10,40,0.6699999999999982,8,0,8,0
14,10,41,1.009999999999998,8,0,8,0
14,10,42,-0.6699999999999982,4,1,3,0
14,10,43,0.6799999999999997,9,2,6,1
14,10,44,0.6699999999999982,7,1,3,3
14,10,45,0.33000000000000185,8,2,5,1
14,10,46,1.3399999999999999,7,1,6,0
14,10,47,-0.33999999999999986,6,1,4,1
14,10,48,1.6899999999999977,18,3,6,9
14,10,49,0.6699999999999982,9,0,9,0
14,10,50,0.33000000000000185,8,2,5,1
14,11,1,4.710000000000001,15,2,4,9
14,11,2,5.390000000000001,17,3,2,12
14,11,3,4.710000000000001,15,2,4,9
14,11,4,7.069999999999997,23,4,0,19
14,11,5,1.3499999999999979,9,2,3,4
14,11,6,6.060000000000002,23,5,5,13
14,11,7,4.040000000000003,25,3,8,14
14,11,8,3.3699999999999974,12,1,2,9
14,11,9,1.0100000000000016,14,1,8,5
14,11,10,2.6999999999999993,10,1,4,5
14,11,11,-0.33999999999999986,3,0,3,0
14,11,12,3.3599999999999994,20,1,4,15
14,11,13,5.050000000000001,21,1,9,11
14,11,14,-2.6999999999999993,4,0,4,0
14,11,15,1.0100000000000016,6,0,6,0
14,11,16,0.33999999999999986,5,0,5,0
14,11,17,0.6799999999999997,8,2,5,1
14,11,18,0.6799999999999997,9,1,5,3
14,11,19,3.6999999999999993,21,2,10,9
14,11,20,-1.6899999999999977,6,1,4,1
14,11,21,3.0299999999999976,19,3,7,9
14,11,22,-1.009999999999998,7,0,7,0
14,11,23,-0.33999999999999986,16,3,4,9
14,11,24,3.3699999999999974,22,2,10,10
14,11,25,0.33999999999999986,9,1,7,1
